month,fuel_type,number
2020-12-01,Conventional Fuel Vehicles,3286
2020-12-01,Alternative Fuel Vehicles,650
2021-01-01,Conventional Fuel Vehicles,3711
2021-01-01,Alternative Fuel Vehicles,1573
2021-02-01,Conventional Fuel Vehicles,2693
2021-02-01,Alternative Fuel Vehicles,955
2021-03-01,Conventional Fuel Vehicles,3314
2021-03-01,Alternative Fuel Vehicles,1286
2021-04-01,Conventional Fuel Vehicles,2778
2021-04-01,Alternative Fuel Vehicles,1272
2021-05-01,Conventional Fuel Vehicles,2631
2021-05-01,Alternative Fuel Vehicles,1135
2021-06-01,Conventional Fuel Vehicles,3119
2021-06-01,Alternative Fuel Vehicles,1310
2021-07-01,Conventional Fuel Vehicles,2172
2021-07-01,Alternative Fuel Vehicles,1274
2021-08-01,Conventional Fuel Vehicles,2181
2021-08-01,Alternative Fuel Vehicles,1324
2021-09-01,Conventional Fuel Vehicles,2251
2021-09-01,Alternative Fuel Vehicles,1650
2021-10-01,Conventional Fuel Vehicles,1837
2021-10-01,Alternative Fuel Vehicles,1109
2021-11-01,Conventional Fuel Vehicles,1725
2021-11-01,Alternative Fuel Vehicles,1240
2021-12-01,Conventional Fuel Vehicles,1736
2021-12-01,Alternative Fuel Vehicles,1166
2022-01-01,Conventional Fuel Vehicles,1801
2022-01-01,Alternative Fuel Vehicles,1163
2022-02-01,Conventional Fuel Vehicles,1296
2022-02-01,Alternative Fuel Vehicles,975
2022-03-01,Conventional Fuel Vehicles,1369
2022-03-01,Alternative Fuel Vehicles,1258
2022-04-01,Conventional Fuel Vehicles,1190
2022-04-01,Alternative Fuel Vehicles,1311
2022-05-01,Conventional Fuel Vehicles,1485
2022-05-01,Alternative Fuel Vehicles,1462
2022-06-01,Conventional Fuel Vehicles,1501
2022-06-01,Alternative Fuel Vehicles,1756
2022-07-01,Conventional Fuel Vehicles,1181
2022-07-01,Alternative Fuel Vehicles,1348
2022-08-01,Conventional Fuel Vehicles,1280
2022-08-01,Alternative Fuel Vehicles,1094
2022-09-01,Conventional Fuel Vehicles,1137
2022-09-01,Alternative Fuel Vehicles,1220
2022-10-01,Conventional Fuel Vehicles,969
2022-10-01,Alternative Fuel Vehicles,1427
2022-11-01,Conventional Fuel Vehicles,1012
2022-11-01,Alternative Fuel Vehicles,1297
2022-12-01,Conventional Fuel Vehicles,1031
2022-12-01,Alternative Fuel Vehicles,1376
2023-01-01,Conventional Fuel Vehicles,823
2023-01-01,Alternative Fuel Vehicles,1065
2023-02-01,Conventional Fuel Vehicles,958
2023-02-01,Alternative Fuel Vehicles,1178
2023-03-01,Conventional Fuel Vehicles,1147
2023-03-01,Alternative Fuel Vehicles,1322
2023-04-01,Conventional Fuel Vehicles,988
2023-04-01,Alternative Fuel Vehicles,1197
2023-05-01,Conventional Fuel Vehicles,848
2023-05-01,Alternative Fuel Vehicles,1366
2023-06-01,Conventional Fuel Vehicles,936
2023-06-01,Alternative Fuel Vehicles,1396
2023-07-01,Conventional Fuel Vehicles,787
2023-07-01,Alternative Fuel Vehicles,1595
2023-08-01,Conventional Fuel Vehicles,796
2023-08-01,Alternative Fuel Vehicles,1745
2023-09-01,Conventional Fuel Vehicles,727
2023-09-01,Alternative Fuel Vehicles,1684
2023-10-01,Conventional Fuel Vehicles,741
2023-10-01,Alternative Fuel Vehicles,1611
2023-11-01,Conventional Fuel Vehicles,661
2023-11-01,Alternative Fuel Vehicles,1880
2023-12-01,Conventional Fuel Vehicles,1214
2023-12-01,Alternative Fuel Vehicles,3560
2024-01-01,Conventional Fuel Vehicles,503
2024-01-01,Alternative Fuel Vehicles,1737
2024-02-01,Conventional Fuel Vehicles,515
